Steps\Vars	state	actions	
Step1	D1	right	
Step2	D2	up	
Step3	C2	right	
Step4	C3	right	
Step5	C4	up	
Step6	B4	right	
Step7	B5	right	
Step8	B6	down	
Step9	C6	right	
Step10	C7	up	
Step11	B8	right	
Step12	B9	left	
Step13	B8	left	
Step14	B7	up	
Step15	A7	right	
Step16	A8	left	
Step17	A7	down	
Step18	B7	up	
Step19	A7	left	
Step20	A6	right	
Step21	A7	left	
Step22	A6	down	
Step23	B6	left	
Step24	B5	up	
Step25	A5	left	
Step26	A4	down	
Step27	B4	up	
Step28	A4	down	
Step29	B4	right	
Step30	B5	left	
Step31	B4	right	
