Steps\Vars	state	actions	
Step1	B7	down	
Step2	C7	down	
Step3	D7	left	
Step4	D6	up	
Step5	C6	right	
Step6	C7	up	
Step7	B8	left	
Step8	B7	down	
Step9	C7	up	
Step10	B8	left	
Step11	B7	left	
Step12	B6	left	
Step13	B5	left	
Step14	B4	up	
Step15	A4	down	
Step16	B4	down	
Step17	C4	down	
Step18	D4	left	
Step19	D3	up	
Step20	C3	right	
Step21	C4	up	
Step22	B4	right	
Step23	B5	up	
Step24	A5	down	
Step25	B5	right	
Step26	B6	down	
Step27	C6	down	
Step28	D6	up	
Step29	C6	right	
Step30	C7	up	
Step31	B8	left	
