Steps\Vars	state	actions	
Step1	A4	right	
Step2	A5	right	
Step3	A6	down	
Step4	B6	down	
Step5	C6	down	
Step6	D6	down	
Step7	E6	up	
Step8	D6	up	
Step9	C6	up	
Step10	B6	down	
Step11	C6	down	
Step12	D6	down	
Step13	E6	right	
Step14	E7	left	
Step15	E6	up	
Step16	D6	up	
Step17	C6	up	
Step18	B6	right	
Step19	B7	right	
Step20	B8	left	
Step21	B7	down	
Step22	C7	up	
Step23	B8	up	
Step24	A8	left	
Step25	A7	down	
Step26	B7	up	
Step27	A7	left	
Step28	A6	right	
Step29	A7	down	
Step30	B7	left	
Step31	B6	down	
