Steps\Vars	state	actions	
Step1	D3	down	
Step2	E3	right	
Step3	E4	up	
Step4	D4	up	
Step5	C4	up	
Step6	B4	up	
Step7	A4	right	
Step8	A5	right	
Step9	A6	down	
Step10	B6	down	
Step11	C6	down	
Step12	D6	up	
Step13	C6	right	
Step14	C7	down	
Step15	D7	down	
Step16	E7	up	
Step17	D7	left	
Step18	D6	left	
Step19	D5	left	
Step20	D4	left	
Step21	D3	left	
Step22	D2	down	
Step23	E2	up	
Step24	D2	left	
Step25	D1	right	
Step26	D2	right	
Step27	D3	down	
Step28	E3	right	
Step29	E4	left	
Step30	E3	right	
Step31	E4	up	
