Steps\Vars	state	actions	
Step1	A7	left	
Step2	A6	left	
Step3	A5	right	
Step4	A6	down	
Step5	B6	down	
Step6	C6	right	
Step7	C7	left	
Step8	C6	up	
Step9	B6	left	
Step10	B5	left	
Step11	B4	up	
Step12	A4	left	
Step13	A3	right	
Step14	A4	left	
Step15	A3	left	
Step16	A2	right	
Step17	A3	left	
Step18	A2	left	
Step19	A1	right	
Step20	A2	right	
Step21	A3	right	
Step22	A4	down	
Step23	B4	down	
Step24	C4	down	
Step25	D4	down	
Step26	E4	up	
Step27	D4	up	
Step28	C4	up	
Step29	B4	right	
Step30	B5	up	
Step31	A5	right	
