Steps\Vars	state	actions	
Step1	B5	right	
Step2	B6	right	
Step3	B7	down	
Step4	C7	up	
Step5	B8	left	
Step6	B7	down	
Step7	C7	up	
Step8	B8	up	
Step9	A8	left	
Step10	A7	left	
Step11	A6	left	
Step12	A5	left	
Step13	A4	right	
Step14	A5	right	
Step15	A6	right	
Step16	A7	down	
Step17	B7	down	
Step18	C7	up	
Step19	B8	right	
Step20	B9	left	
Step21	B8	up	
Step22	A8	left	
Step23	A7	left	
Step24	A6	left	
Step25	A5	down	
Step26	B5	right	
Step27	B6	left	
Step28	B5	left	
Step29	B4	right	
Step30	B5	right	
Step31	B6	right	
