Steps\Vars	state	actions	
Step1	D4	up	
Step2	C4	up	
Step3	B4	right	
Step4	B5	right	
Step5	B6	down	
Step6	C6	right	
Step7	C7	up	
Step8	B8	left	
Step9	B7	down	
Step10	C7	down	
Step11	D7	left	
Step12	D6	up	
Step13	C6	down	
Step14	D6	right	
Step15	D7	down	
Step16	E7	left	
Step17	E6	right	
Step18	E7	up	
Step19	D7	right	
Step20	D8	right	
Step21	D9	up	
Step22	C9	up	
Step23	B9	left	
Step24	B8	left	
Step25	B7	left	
Step26	B6	left	
Step27	B5	up	
Step28	A5	left	
Step29	A4	down	
Step30	B4	down	
Step31	C4	up	
