Steps\Vars	state	actions	
Step1	C9	down	
Step2	D9	down	
Step3	E9	up	
Step4	D9	down	
Step5	E9	left	
Step6	E8	right	
Step7	E9	up	
Step8	D9	down	
Step9	E9	up	
Step10	D9	up	
Step11	C9	up	
Step12	B9	left	
Step13	B8	left	
Step14	B7	up	
Step15	A7	right	
Step16	A8	down	
Step17	B8	left	
Step18	B7	left	
Step19	B6	right	
Step20	B7	left	
Step21	B6	up	
Step22	A6	down	
Step23	B6	down	
Step24	C6	right	
Step25	C7	left	
Step26	C6	up	
Step27	B6	left	
Step28	B5	up	
Step29	A5	down	
Step30	B5	right	
Step31	B6	right	
