Steps\Vars	state	actions	
Step1	C3	right	
Step2	C4	up	
Step3	B4	right	
Step4	B5	right	
Step5	B6	right	
Step6	B7	down	
Step7	C7	up	
Step8	B8	right	
Step9	B9	left	
Step10	B8	left	
Step11	B7	left	
Step12	B6	up	
Step13	A6	left	
Step14	A5	down	
Step15	B5	right	
Step16	B6	down	
Step17	C6	right	
Step18	C7	up	
Step19	B8	left	
Step20	B7	up	
Step21	A7	down	
Step22	B7	up	
Step23	A7	left	
Step24	A6	right	
Step25	A7	down	
Step26	B7	left	
Step27	B6	down	
Step28	C6	down	
Step29	D6	down	
Step30	E6	up	
Step31	D6	down	
