Steps\Vars	state	actions	
Step1	A8	down	
Step2	B8	left	
Step3	B7	down	
Step4	C7	up	
Step5	B8	right	
Step6	B9	down	
Step7	C9	down	
Step8	D9	down	
Step9	E9	left	
Step10	E8	right	
Step11	E9	up	
Step12	D9	down	
Step13	E9	left	
Step14	E8	left	
Step15	E7	left	
Step16	E6	up	
Step17	D6	left	
Step18	D5	left	
Step19	D4	up	
Step20	C4	up	
Step21	B4	up	
Step22	A4	right	
Step23	A5	left	
Step24	A4	down	
Step25	B4	right	
Step26	B5	right	
Step27	B6	down	
Step28	C6	down	
Step29	D6	up	
Step30	C6	right	
Step31	C7	up	
