Steps\Vars	state	actions	
Step1	A1	right	
Step2	A2	right	
Step3	A3	right	
Step4	A4	right	
Step5	A5	right	
Step6	A6	right	
Step7	A7	down	
Step8	B7	down	
Step9	C7	up	
Step10	B8	left	
Step11	B7	down	
Step12	C7	down	
Step13	D7	right	
Step14	D8	down	
Step15	E8	up	
Step16	D8	left	
Step17	D7	down	
Step18	E7	right	
Step19	E8	right	
Step20	E9	left	
Step21	E8	right	
Step22	E9	left	
Step23	E8	right	
Step24	E9	left	
Step25	E8	left	
Step26	E7	right	
Step27	E8	right	
Step28	E9	up	
Step29	D9	left	
Step30	D8	down	
Step31	E8	right	
