Steps\Vars	state	actions	
Step1	B1	right	
Step2	B2	up	
Step3	A2	right	
Step4	A3	right	
Step5	A4	right	
Step6	A5	right	
Step7	A6	down	
Step8	B6	down	
Step9	C6	down	
Step10	D6	down	
Step11	E6	up	
Step12	D6	up	
Step13	C6	right	
Step14	C7	up	
Step15	B8	left	
Step16	B7	down	
Step17	C7	up	
Step18	B8	up	
Step19	A8	down	
Step20	B8	right	
Step21	B9	down	
Step22	C9	up	
Step23	B9	down	
Step24	C9	down	
Step25	D9	down	
Step26	E9	left	
Step27	E8	right	
Step28	E9	up	
Step29	D9	up	
Step30	C9	up	
Step31	B9	down	
