Steps\Vars	state	actions	
Step1	E6	right	
Step2	E7	up	
Step3	D7	up	
Step4	C7	up	
Step5	B8	left	
Step6	B7	up	
Step7	A7	right	
Step8	A8	left	
Step9	A7	down	
Step10	B7	down	
Step11	C7	up	
Step12	B8	left	
Step13	B7	left	
Step14	B6	up	
Step15	A6	down	
Step16	B6	right	
Step17	B7	left	
Step18	B6	up	
Step19	A6	down	
Step20	B6	down	
Step21	C6	right	
Step22	C7	up	
Step23	B8	left	
Step24	B7	up	
Step25	A7	left	
Step26	A6	left	
Step27	A5	right	
Step28	A6	right	
Step29	A7	left	
Step30	A6	down	
Step31	B6	right	
