Steps\Vars	state	actions	
Step1	C6	down	
Step2	D6	right	
Step3	D7	up	
Step4	C7	up	
Step5	B8	right	
Step6	B9	down	
Step7	C9	down	
Step8	D9	down	
Step9	E9	left	
Step10	E8	left	
Step11	E7	up	
Step12	D7	up	
Step13	C7	up	
Step14	B8	left	
Step15	B7	up	
Step16	A7	left	
Step17	A6	right	
Step18	A7	left	
Step19	A6	left	
Step20	A5	right	
Step21	A6	right	
Step22	A7	right	
Step23	A8	down	
Step24	B8	right	
Step25	B9	left	
Step26	B8	up	
Step27	A8	down	
Step28	B8	left	
Step29	B7	down	
Step30	C7	up	
Step31	B8	right	
