Steps\Vars	state	actions	
Step1	C4	up	
Step2	B4	right	
Step3	B5	right	
Step4	B6	down	
Step5	C6	right	
Step6	C7	down	
Step7	D7	left	
Step8	D6	down	
Step9	E6	up	
Step10	D6	up	
Step11	C6	up	
Step12	B6	down	
Step13	C6	right	
Step14	C7	down	
Step15	D7	right	
Step16	D8	right	
Step17	D9	down	
Step18	E9	up	
Step19	D9	down	
Step20	E9	up	
Step21	D9	down	
Step22	E9	left	
Step23	E8	left	
Step24	E7	left	
Step25	E6	up	
Step26	D6	up	
Step27	C6	up	
Step28	B6	left	
Step29	B5	up	
Step30	A5	down	
Step31	B5	right	
