Steps\Vars	state	actions	
Step1	B9	left	
Step2	B8	left	
Step3	B7	down	
Step4	C7	up	
Step5	B8	right	
Step6	B9	down	
Step7	C9	up	
Step8	B9	down	
Step9	C9	down	
Step10	D9	left	
Step11	D8	left	
Step12	D7	down	
Step13	E7	up	
Step14	D7	left	
Step15	D6	up	
Step16	C6	up	
Step17	B6	left	
Step18	B5	left	
Step19	B4	up	
Step20	A4	right	
Step21	A5	right	
Step22	A6	down	
Step23	B6	down	
Step24	C6	down	
Step25	D6	right	
Step26	D7	down	
Step27	E7	up	
Step28	D7	up	
Step29	C7	up	
Step30	B8	right	
Step31	B9	left	
