Steps\Vars	state	actions	
Step1	B6	right	
Step2	B7	down	
Step3	C7	down	
Step4	D7	right	
Step5	D8	right	
Step6	D9	down	
Step7	E9	left	
Step8	E8	right	
Step9	E9	left	
Step10	E8	right	
Step11	E9	up	
Step12	D9	down	
Step13	E9	up	
Step14	D9	down	
Step15	E9	left	
Step16	E8	left	
Step17	E7	left	
Step18	E6	up	
Step19	D6	up	
Step20	C6	up	
Step21	B6	left	
Step22	B5	up	
Step23	A5	left	
Step24	A4	right	
Step25	A5	left	
Step26	A4	right	
Step27	A5	down	
Step28	B5	right	
Step29	B6	down	
Step30	C6	right	
Step31	C7	down	
