Steps\Vars	state	actions	
Step1	A2	right	
Step2	A3	right	
Step3	A4	right	
Step4	A5	right	
Step5	A6	down	
Step6	B6	right	
Step7	B7	down	
Step8	C7	up	
Step9	B8	right	
Step10	B9	down	
Step11	C9	down	
Step12	D9	down	
Step13	E9	up	
Step14	D9	up	
Step15	C9	down	
Step16	D9	down	
Step17	E9	left	
Step18	E8	up	
Step19	D8	left	
Step20	D7	right	
Step21	D8	left	
Step22	D7	down	
Step23	E7	right	
Step24	E8	right	
Step25	E9	up	
Step26	D9	left	
Step27	D8	right	
Step28	D9	up	
Step29	C9	up	
Step30	B9	left	
Step31	B8	right	
