Steps\Vars	state	actions	
Step1	B2	down	
Step2	C2	right	
Step3	C3	right	
Step4	C4	up	
Step5	B4	right	
Step6	B5	right	
Step7	B6	down	
Step8	C6	down	
Step9	D6	right	
Step10	D7	left	
Step11	D6	up	
Step12	C6	up	
Step13	B6	left	
Step14	B5	up	
Step15	A5	right	
Step16	A6	down	
Step17	B6	down	
Step18	C6	right	
Step19	C7	up	
Step20	B8	left	
Step21	B7	down	
Step22	C7	up	
Step23	B8	up	
Step24	A8	down	
Step25	B8	up	
Step26	A8	left	
Step27	A7	down	
Step28	B7	down	
Step29	C7	up	
Step30	B8	up	
Step31	A8	left	
