Steps\Vars	state	actions	
Step1	E3	up	
Step2	D3	right	
Step3	D4	up	
Step4	C4	up	
Step5	B4	right	
Step6	B5	right	
Step7	B6	down	
Step8	C6	right	
Step9	C7	up	
Step10	B8	left	
Step11	B7	down	
Step12	C7	up	
Step13	B8	left	
Step14	B7	down	
Step15	C7	left	
Step16	C6	down	
Step17	D6	left	
Step18	D5	left	
Step19	D4	down	
Step20	E4	up	
Step21	D4	up	
Step22	C4	up	
Step23	B4	right	
Step24	B5	up	
Step25	A5	right	
Step26	A6	right	
Step27	A7	down	
Step28	B7	down	
Step29	C7	down	
Step30	D7	left	
Step31	D6	left	
