Steps\Vars	state	actions	
Step1	E9	left	
Step2	E8	up	
Step3	D8	left	
Step4	D7	up	
Step5	C7	left	
Step6	C6	up	
Step7	B6	left	
Step8	B5	left	
Step9	B4	up	
Step10	A4	right	
Step11	A5	left	
Step12	A4	right	
Step13	A5	right	
Step14	A6	down	
Step15	B6	down	
Step16	C6	right	
Step17	C7	up	
Step18	B8	left	
Step19	B7	up	
Step20	A7	left	
Step21	A6	left	
Step22	A5	left	
Step23	A4	left	
Step24	A3	left	
Step25	A2	down	
Step26	B2	down	
Step27	C2	right	
Step28	C3	right	
Step29	C4	left	
Step30	C3	left	
Step31	C2	right	
