Steps\Vars	state	actions	
Step1	D9	left	
Step2	D8	down	
Step3	E8	right	
Step4	E9	left	
Step5	E8	left	
Step6	E7	up	
Step7	D7	up	
Step8	C7	up	
Step9	B8	up	
Step10	A8	left	
Step11	A7	right	
Step12	A8	down	
Step13	B8	left	
Step14	B7	down	
Step15	C7	up	
Step16	B8	right	
Step17	B9	down	
Step18	C9	down	
Step19	D9	down	
Step20	E9	left	
Step21	E8	left	
Step22	E7	up	
Step23	D7	up	
Step24	C7	up	
Step25	B8	up	
Step26	A8	left	
Step27	A7	left	
Step28	A6	left	
Step29	A5	right	
Step30	A6	right	
Step31	A7	right	
