Steps\Vars	state	actions	
Step1	D2	up	
Step2	C2	right	
Step3	C3	right	
Step4	C4	up	
Step5	B4	up	
Step6	A4	right	
Step7	A5	left	
Step8	A4	left	
Step9	A3	left	
Step10	A2	left	
Step11	A1	right	
Step12	A2	right	
Step13	A3	right	
Step14	A4	right	
Step15	A5	right	
Step16	A6	right	
Step17	A7	right	
Step18	A8	left	
Step19	A7	left	
Step20	A6	down	
Step21	B6	down	
Step22	C6	right	
Step23	C7	up	
Step24	B8	left	
Step25	B7	left	
Step26	B6	up	
Step27	A6	left	
Step28	A5	left	
Step29	A4	left	
Step30	A3	left	
Step31	A2	right	
