Steps\Vars	state	actions	
Step1	D5	left	
Step2	D4	up	
Step3	C4	up	
Step4	B4	up	
Step5	A4	left	
Step6	A3	left	
Step7	A2	left	
Step8	A1	right	
Step9	A2	down	
Step10	B2	up	
Step11	A2	down	
Step12	B2	up	
Step13	A2	down	
Step14	B2	up	
Step15	A2	down	
Step16	B2	up	
Step17	A2	right	
Step18	A3	right	
Step19	A4	right	
Step20	A5	right	
Step21	A6	right	
Step22	A7	right	
Step23	A8	down	
Step24	B8	left	
Step25	B7	down	
Step26	C7	left	
Step27	C6	up	
Step28	B6	left	
Step29	B5	left	
Step30	B4	up	
Step31	A4	right	
