Steps\Vars	state	actions	
Step1	D6	right	
Step2	D7	left	
Step3	D6	right	
Step4	D7	up	
Step5	C7	up	
Step6	B8	up	
Step7	A8	left	
Step8	A7	down	
Step9	B7	down	
Step10	C7	down	
Step11	D7	up	
Step12	C7	up	
Step13	B8	left	
Step14	B7	left	
Step15	B6	up	
Step16	A6	right	
Step17	A7	down	
Step18	B7	down	
Step19	C7	down	
Step20	D7	up	
Step21	C7	up	
Step22	B8	left	
Step23	B7	left	
Step24	B6	left	
Step25	B5	up	
Step26	A5	down	
Step27	B5	right	
Step28	B6	right	
Step29	B7	down	
Step30	C7	down	
Step31	D7	left	
